,w0,w1,w2,w3,w4
e23_to_sst,0.06249666334983528,0.9467347389298952,0.10715666175540678,0.20612740463045548,-0.020500768195805544
e23_to_ssttac1,0.7442159691811194,0.378086358808802,0.08223562523481229,0.03504021933748112,-0.01849351415451851
e23_to_vip,-0.09118878181921145,0.6764062165852899,0.6557163802179032,-0.06044456976264642,0.013677803609257883
e23_to_inh,0.31935114365842526,0.84289855681864,-0.04787961145342823,0.11723381816852599,-0.021898114592122105
e4_to_exc,-0.05191590505594415,0.34984663065027694,1.372235582968667,0.03680482290043291,0.0008642876787892939
e4_to_e23,0.00498607512592289,0.4794094864958655,0.6235871498669907,0.4285253023284493,0.06548183953519676
e4_to_e4,-0.08031213979641721,0.45178473932638913,1.2822721533878463,-0.09326425709676978,0.017486689838393632
e4_to_e5et,-0.028194783082240937,0.2098554685149442,1.5088470044813085,0.1082024667084231,-0.007872718819136787
e4_to_e5it,-0.16216850032040775,0.8117416535400584,0.24478328586713777,0.41045815587285317,0.3704940104929103
e4_to_e5np,-0.07700629236815064,0.5307319531269294,0.8914879428363477,0.002390582646196737,0.007027340494617951
e4_to_e6,-0.07348451701584308,0.6096774267398231,0.7086883522524878,0.16732415676228976,-0.052097536755802296
e4_to_pv,0.8117616686897274,0.29193581203943064,0.16184888655079924,0.030353875605669572,-0.011965395248482873
e4_to_sst,0.25072569087437063,0.59614972260332,0.4835804930223603,0.03326413034369353,0.0021067988877117166
e4_to_ssttac1,0.7424168491417243,0.36257551779025055,0.18114926762441466,-0.03258498532228904,0.0172233224679084
e4_to_vip,-0.08830877745916281,0.6511998837555809,0.7259406621699116,-0.0496472571070688,0.012325978573899207
e4_to_inh,0.571691969489283,0.6290829694728932,-0.3120328332004081,0.3276747715701217,0.02098253776868332
e5et_to_exc,-0.04359177705682666,0.646584815782129,1.388325418314484,0.09869425268832949,-0.009358292817538055
e5et_to_e23,-0.057264125943171346,0.520676323693366,0.6894264790120684,0.3290944134060937,0.10692088527828851
e5et_to_e4,-0.07980635710837279,0.4350550942119229,1.2500069614260538,-0.10059526765411209,0.018430709516377958
e5et_to_e5et,-0.14840805214774538,1.0738878025317504,1.8801441123121903,-0.19624267943921142,0.0342413759209855
