sim_name,n_neurons,n_edges,batch_size,seq_len,mean_rate,sem_rate,mean_step_time,sem_step_time,mean_gpu_memory,sem_gpu_memory,mode
,66652,55681990,10,4000,0.0038,0.0000,65.1202,0.1491,20.9656,0.0289,"test"
,66652,55687209,10,4000,0.0038,0.0000,67.4352,0.1854,21.7373,0.1096,"test"
,66652,55681990,10,4000,0.0039,0.0000,67.9748,0.2444,21.2256,0.0621,"test"
,66652,55681990,10,4000,0.0038,0.0000,63.4975,0.1290,21.1357,0.0879,"test"
,66652,55681990,10,4000,0.0038,0.0000,64.9512,0.3579,21.8232,0.0000,"test"
,66652,55681990,10,4000,0.0038,0.0000,63.3965,0.2303,21.4170,0.0829,"test"
,66652,55681990,10,4000,0.0039,0.0000,61.1017,0.1910,21.1826,0.0387,"test"
,66652,55687209,10,4000,0.0039,0.0000,63.8840,0.1961,21.6357,0.0000,"test"
,66652,55681990,10,4000,0.0039,0.0000,64.9479,0.1380,21.2842,0.0239,"test"
,66652,55681990,10,4000,0.0040,0.0000,68.0365,0.2600,21.3701,0.0861,"test"
,66652,55681990,10,4000,0.0039,0.0000,67.7117,0.2154,21.5972,0.1178,"test"
,66652,55681990,10,4000,0.0039,0.0000,63.9153,0.1901,21.6375,0.0860,"test"
,66652,55681990,10,4000,0.0039,0.0000,64.1098,0.2304,21.5459,0.0918,"test"
,66652,55681990,10,4000,0.0040,0.0000,64.8574,0.1429,22.4131,0.2083,"test"
,66652,55681990,10,4000,0.0038,0.0000,63.8737,0.1519,21.4404,0.0950,"test"
,66652,55681990,10,4000,0.0038,0.0000,62.9698,0.2093,21.5264,0.0850,"test"
,66652,55681990,10,4000,0.0039,0.0000,64.4109,0.2462,21.3818,0.0160,"test"
